prompt,expected_intent,expected_deep_link,actual_intent,actual_deep_link,correct_intent,correct_deep_link,overall_correct,http_status,elapsed_ms,error
cauta dosarul pentru B332SRA,POLICE_LOOKUP,/vehicule?tab=cautare&plate=B332SRA,POLICE_LOOKUP,/vehicule?tab=cautare&plate=B332SRA,true,true,true,200,2898,
dosar CJ16VBS,POLICE_LOOKUP,/vehicule?tab=cautare&plate=CJ16VBS,POLICE_LOOKUP,/vehicule?tab=cautare&plate=CJ16VBS,true,true,true,200,1683,
arata parcare pentru B332SRA,PARKING_LOOKUP,/parcare?tab=sesiuni&plate=B332SRA,PARKING_LOOKUP,/parcare?tab=sesiuni&plate=B332SRA,true,true,true,200,5125,
verifica asigurarea pentru B332SRA,INSURANCE_LOOKUP,/asigurari?tab=cautare&plate=B332SRA,INSURANCE_LOOKUP,/asigurari?tab=cautare&plate=B332SRA,true,true,true,200,2017,
detectii de revizuit,REVIEW_QUEUE,/detectii?tab=review,REVIEW_QUEUE,/detectii?tab=review,true,true,true,200,2023,
audit recent,AUDIT_RECENT,/audit,AUDIT_RECENT,/audit,true,true,true,200,1439,
deschide dashboard,NAVIGATE,/dashboard,NAVIGATE,/dashboard,true,true,true,200,2438,
mergi la detectii,NAVIGATE,/detectii,NAVIGATE,/detectii,true,true,true,200,1514,
mergi la parcare,NAVIGATE,/parcare,NAVIGATE,/parcare,true,true,true,200,1797,
mergi la asigurari,NAVIGATE,/asigurari,NAVIGATE,/asigurari,true,true,true,200,1710,
vreau vehicule,NAVIGATE,/vehicule,HELP,/dashboard,false,false,false,200,1198,
ajutor,HELP,,HELP,/dashboard,true,true,true,200,1707,
